mywebsite=# ֿSelect * from page_views;
 view_id |   visitor_ip    |                    page_route                     |        view_timestamp         
      39 | 40.113.19.56    | /nfile.php                                        | 2025-10-03 15:08:46.311504+00
      40 | 40.113.19.56    | /cabs.php                                         | 2025-10-03 15:08:46.396944+00
      41 | 40.113.19.56    | /usep.php                                         | 2025-10-03 15:08:46.483186+00
      42 | 40.113.19.56    | /abcd.php                                         | 2025-10-03 15:08:46.570358+00
      43 | 40.113.19.56    | /ilex.php                                         | 2025-10-03 15:08:46.658465+00
      44 | 40.113.19.56    | /hk.php                                           | 2025-10-03 15:08:46.746744+00
      45 | 40.113.19.56    | /file1.php                                        | 2025-10-03 15:08:46.834331+00
      46 | 40.113.19.56    | /rrr.php                                          | 2025-10-03 15:08:46.92382+00
      47 | 40.113.19.56    | /vee.php                                          | 2025-10-03 15:08:47.00991+00
      48 | 40.113.19.56    | /222.php                                          | 2025-10-03 15:08:47.095895+00
      49 | 40.113.19.56    | /fffff.php                                        | 2025-10-03 15:08:47.185577+00
      50 | 40.113.19.56    | /cool.php                                         | 2025-10-03 15:08:47.289561+00
      51 | 40.113.19.56    | /cfile.php                                        | 2025-10-03 15:08:47.375429+00
      52 | 40.113.19.56    | /new4.php                                         | 2025-10-03 15:08:47.462155+00
      53 | 40.113.19.56    | /031.php                                          | 2025-10-03 15:08:47.54776+00
      54 | 40.113.19.56    | /goat.php                                         | 2025-10-03 15:08:47.636889+00
      55 | 40.113.19.56    | /we.php                                           | 2025-10-03 15:08:47.724788+00
      56 | 40.113.19.56    | /aa.php                                           | 2025-10-03 15:08:47.80998+00
      57 | 40.113.19.56    | /gmo.php                                          | 2025-10-03 15:08:47.895707+00
      58 | 40.113.19.56    | /gm.php                                           | 2025-10-03 15:08:47.982633+00
      59 | 40.113.19.56    | /eauu.php                                         | 2025-10-03 15:08:48.069536+00
      60 | 40.113.19.56    | /2.php                                            | 2025-10-03 15:08:48.155682+00
      61 | 40.113.19.56    | /CLA.php                                          | 2025-10-03 15:08:48.242789+00
      62 | 40.113.19.56    | /wpc.php                                          | 2025-10-03 15:08:48.336367+00
      63 | 40.113.19.56    | /lala.php                                         | 2025-10-03 15:08:48.423806+00
      64 | 40.113.19.56    | /dfre.php                                         | 2025-10-03 15:08:48.512749+00
      65 | 40.113.19.56    | /file3.php                                        | 2025-10-03 15:08:48.598727+00
      66 | 40.113.19.56    | /as.php                                           | 2025-10-03 15:08:48.684506+00
      67 | 40.113.19.56    | /444.php                                          | 2025-10-03 15:08:48.769966+00
      68 | 40.113.19.56    | /file9.php                                        | 2025-10-03 15:08:48.856609+00
      69 | 40.113.19.56    | /yanz.php                                         | 2025-10-03 15:08:48.944013+00
      70 | 40.113.19.56    | /system_log.php                                   | 2025-10-03 15:08:49.030504+00
      71 | 40.113.19.56    | /admin/upload/css.php                             | 2025-10-03 15:08:49.116629+00
      72 | 40.113.19.56    | /wp.php                                           | 2025-10-03 15:08:49.202528+00
      73 | 40.113.19.56    | /admin.php                                        | 2025-10-03 15:08:49.289782+00
      74 | 40.113.19.56    | /f35.php                                          | 2025-10-03 15:08:49.376755+00
      75 | 40.113.19.56    | /info.php                                         | 2025-10-03 15:08:49.462196+00
      76 | 40.113.19.56    | /css.php                                          | 2025-10-03 15:08:49.547774+00
      77 | 40.113.19.56    | /radio.php                                        | 2025-10-03 15:08:49.633898+00
      78 | 40.113.19.56    | /wp-admin/user/about.php                          | 2025-10-03 15:08:49.718909+00
      79 | 40.113.19.56    | /index/function.php                               | 2025-10-03 15:08:49.806662+00
      80 | 40.113.19.56    | /simple.php                                       | 2025-10-03 15:08:49.893433+00
      81 | 40.113.19.56    | /v.php                                            | 2025-10-03 15:08:49.982912+00
      82 | 40.113.19.56    | /fe5.php                                          | 2025-10-03 15:08:50.06874+00
      83 | 40.113.19.56    | /ee.php                                           | 2025-10-03 15:08:50.154924+00
      84 | 40.113.19.56    | /get.php                                          | 2025-10-03 15:08:50.241466+00
      85 | 40.113.19.56    | /file18.php                                       | 2025-10-03 15:08:50.328438+00
      86 | 40.113.19.56    | /c.php                                            | 2025-10-03 15:08:50.415157+00
      87 | 40.113.19.56    | /about.php                                        | 2025-10-03 15:08:50.50094+00
      88 | 40.113.19.56    | /file17.php                                       | 2025-10-03 15:08:50.585732+00
      89 | 40.113.19.56    | /wp-includes/IXR/admin.php                        | 2025-10-03 15:08:50.67756+00
      90 | 40.113.19.56    | /efile.php                                        | 2025-10-03 15:08:50.763741+00
      91 | 40.113.19.56    | /r.php                                            | 2025-10-03 15:08:50.851319+00
      92 | 40.113.19.56    | /t.php                                            | 2025-10-03 15:08:50.952744+00
      93 | 40.113.19.56    | /file88.php                                       | 2025-10-03 15:08:51.037884+00
      94 | 40.113.19.56    | /NewFile.php                                      | 2025-10-03 15:08:51.124456+00
      95 | 40.113.19.56    | /makeasmtp.php                                    | 2025-10-03 15:08:51.22758+00
      96 | 40.113.19.56    | /tiny.php                                         | 2025-10-03 15:08:51.314992+00
      97 | 40.113.19.56    | /marijuana.php                                    | 2025-10-03 15:08:51.401166+00
      98 | 40.113.19.56    | /config.php                                       | 2025-10-03 15:08:51.489659+00
      99 | 40.113.19.56    | /wp-2019.php                                      | 2025-10-03 15:08:51.577475+00
     100 | 40.113.19.56    | /1.php                                            | 2025-10-03 15:08:51.662816+00
     101 | 40.113.19.56    | /inputs.php                                       | 2025-10-03 15:08:51.748976+00
     102 | 40.113.19.56    | /11.php                                           | 2025-10-03 15:08:51.835131+00
     103 | 40.113.19.56    | /mail.php                                         | 2025-10-03 15:08:51.921983+00
     104 | 40.113.19.56    | /g.php                                            | 2025-10-03 15:08:52.012018+00
     105 | 40.113.19.56    | /d2.php                                           | 2025-10-03 15:08:52.099768+00
     106 | 40.113.19.56    | /admin/function.php                               | 2025-10-03 15:08:52.186168+00
     107 | 40.113.19.56    | /.well-known/acme-challenge/admin.php             | 2025-10-03 15:08:52.27291+00
     108 | 40.113.19.56    | /0.php                                            | 2025-10-03 15:08:52.359189+00
     109 | 40.113.19.56    | /wp-22.php                                        | 2025-10-03 15:08:52.444614+00
     110 | 40.113.19.56    | /lv.php                                           | 2025-10-03 15:08:52.530643+00
     111 | 40.113.19.56    | /a.php                                            | 2025-10-03 15:08:52.617389+00
     112 | 40.113.19.56    | /build.php                                        | 2025-10-03 15:08:52.704033+00
     113 | 40.113.19.56    | /v4.php                                           | 2025-10-03 15:08:52.790652+00
     114 | 40.113.19.56    | /12.php                                           | 2025-10-03 15:08:52.876169+00
     115 | 40.113.19.56    | /wp-cron.php                                      | 2025-10-03 15:08:52.961204+00
     116 | 40.113.19.56    | /fm.php                                           | 2025-10-03 15:08:53.046801+00
     117 | 40.113.19.56    | /size.php                                         | 2025-10-03 15:08:53.132738+00
     118 | 40.113.19.56    | /x.php                                            | 2025-10-03 15:08:53.218359+00
     119 | 40.113.19.56    | /class20.php                                      | 2025-10-03 15:08:53.304069+00
     120 | 40.113.19.56    | /ioxi-o.php                                       | 2025-10-03 15:08:53.391204+00
     121 | 40.113.19.56    | /.well-known/acme-challenge/about.php             | 2025-10-03 15:08:53.476847+00
     122 | 40.113.19.56    | /epinyins.php                                     | 2025-10-03 15:08:53.565535+00
     123 | 40.113.19.56    | /fileas.php                                       | 2025-10-03 15:08:53.656032+00
     124 | 40.113.19.56    | /akcc.php                                         | 2025-10-03 15:08:53.741822+00
     125 | 40.113.19.56    | /zwso.php                                         | 2025-10-03 15:08:53.828653+00
     126 | 40.113.19.56    | /alfa.php                                         | 2025-10-03 15:08:53.915318+00
     127 | 40.113.19.56    | /bypass.php                                       | 2025-10-03 15:08:54.005285+00
     128 | 40.113.19.56    | /a1.php                                           | 2025-10-03 15:08:54.09276+00
     129 | 40.113.19.56    | /ova.php                                          | 2025-10-03 15:08:54.179284+00
     130 | 40.113.19.56    | /wp-admin/maint/maint.php                         | 2025-10-03 15:08:54.265493+00
     131 | 40.113.19.56    | /uwu2.php                                         | 2025-10-03 15:08:54.352149+00
     132 | 40.113.19.56    | /wp-gr.php                                        | 2025-10-03 15:08:54.438036+00
     133 | 40.113.19.56    | /yellow.php                                       | 2025-10-03 15:08:54.525866+00
     134 | 40.113.19.56    | /02.php                                           | 2025-10-03 15:08:54.612111+00
     135 | 40.113.19.56    | /dev.php                                          | 2025-10-03 15:08:54.697511+00
     136 | 40.113.19.56    | /ar.php                                           | 2025-10-03 15:08:54.784609+00
     137 | 40.113.19.56    | /xx.php                                           | 2025-10-03 15:08:54.870779+00
     138 | 40.113.19.56    | /7.php                                            | 2025-10-03 15:08:54.957115+00
     139 | 40.113.19.56    | /pepe.php                                         | 2025-10-03 15:08:55.0447+00
     140 | 40.113.19.56    | /lite.php                                         | 2025-10-03 15:08:55.130426+00
     141 | 40.113.19.56    | /ahax.php                                         | 2025-10-03 15:08:55.217047+00
     142 | 40.113.19.56    | /jp.php                                           | 2025-10-03 15:08:55.30278+00
     143 | 40.113.19.56    | /3.php                                            | 2025-10-03 15:08:55.389392+00
     144 | 40.113.19.56    | /pp.php                                           | 2025-10-03 15:08:55.475396+00
     145 | 40.113.19.56    | /geck.php                                         | 2025-10-03 15:08:55.561738+00
     146 | 40.113.19.56    | /plss3.php                                        | 2025-10-03 15:08:55.648321+00
     147 | 40.113.19.56    | /ton.php                                          | 2025-10-03 15:08:55.734376+00
     148 | 40.113.19.56    | /nij.php                                          | 2025-10-03 15:08:55.820721+00
     149 | 40.113.19.56    | /ddgg.php                                         | 2025-10-03 15:08:55.910847+00
     150 | 40.113.19.56    | /aves.php                                         | 2025-10-03 15:08:56.002011+00
     151 | 40.113.19.56    | /mb.php                                           | 2025-10-03 15:08:56.087925+00
     152 | 40.113.19.56    | /lo.php                                           | 2025-10-03 15:08:56.173621+00
     153 | 40.113.19.56    | /alma.php                                         | 2025-10-03 15:08:56.260014+00
     154 | 40.113.19.56    | /he.php                                           | 2025-10-03 15:08:56.346172+00
     155 | 40.113.19.56    | /sluig.php                                        | 2025-10-03 15:08:56.43369+00
     156 | 40.113.19.56    | /sjcawlic.php                                     | 2025-10-03 15:08:56.521071+00
     157 | 40.113.19.56    | /sec.php                                          | 2025-10-03 15:08:56.607812+00
     158 | 40.113.19.56    | /ssss.php                                         | 2025-10-03 15:08:56.695962+00
     159 | 40.113.19.56    | /anskrit.php                                      | 2025-10-03 15:08:56.783284+00
     160 | 40.113.19.56    | /thh.php                                          | 2025-10-03 15:08:56.869215+00
     161 | 40.113.19.56    | /bdr.php                                          | 2025-10-03 15:08:56.983722+00
     162 | 40.113.19.56    | /azra.php                                         | 2025-10-03 15:08:57.071374+00
     163 | 40.113.19.56    | /Llj.php                                          | 2025-10-03 15:08:57.157098+00
     164 | 40.113.19.56    | /gaga.php                                         | 2025-10-03 15:08:57.264498+00
     165 | 40.113.19.56    | /0x0x.php                                         | 2025-10-03 15:08:57.355296+00
     166 | 40.113.19.56    | /520.php                                          | 2025-10-03 15:08:57.442556+00
     167 | 40.113.19.56    | /ffile.php                                        | 2025-10-03 15:08:57.534735+00
     168 | 40.113.19.56    | /about3.php                                       | 2025-10-03 15:08:57.623663+00
     169 | 40.113.19.56    | /xsox.php                                         | 2025-10-03 15:08:57.710072+00
     170 | 40.113.19.56    | /inde.php                                         | 2025-10-03 15:08:57.797743+00
     171 | 79.177.147.20   | /                                                 | 2025-10-03 15:20:44.544834+00
     172 | 141.226.92.112  | /education                                        | 2025-10-03 15:20:54.088988+00
     173 | 141.226.92.112  | /contact                                          | 2025-10-03 15:21:00.099578+00
     174 | 141.226.92.112  | /about-me                                         | 2025-10-03 15:21:07.395165+00
     175 | 141.226.92.112  | /tech-in-action                                   | 2025-10-03 15:21:19.076295+00
     176 | 79.177.147.20   | /tech-in-action                                   | 2025-10-03 15:37:09.668584+00
     177 | 172.105.80.201  | /systembc/password.php                            | 2025-10-03 15:39:10.082025+00
     178 | 204.76.203.219  | /                                                 | 2025-10-03 15:43:59.204823+00
     179 | 66.132.153.141  | /                                                 | 2025-10-03 16:17:08.990227+00
     180 | 66.132.153.141  | /favicon.ico                                      | 2025-10-03 16:17:14.665213+00
     181 | 66.132.153.141  | /favicon.ico                                      | 2025-10-03 16:17:19.455824+00
     182 | 66.132.153.141  | /wiki                                             | 2025-10-03 16:17:19.958368+00
     183 | 113.56.161.14   | /                                                 | 2025-10-03 16:17:20.569663+00
(183 rows)
